timestamp,spread,spread_mean,spread_std,zscore,spread_vol,vol_ref,allow_trade,position,gross_pnl,cost,net_pnl
2025-09-01 00:15:00+00:00,5.904156503688132,,,,,,False,0,0.0,0.0,0.0
2025-09-01 00:30:00+00:00,5.904074477200491,,,,,,False,0,0.0,0.0,0.0
2025-09-01 00:45:00+00:00,5.904498487828823,,,,,,False,0,0.0,0.0,0.0
2025-09-01 01:00:00+00:00,5.9042012253892855,,,,,,False,0,0.0,0.0,0.0
2025-09-01 01:15:00+00:00,5.9028653042718595,,,,,,False,0,0.0,0.0,0.0
2025-09-01 01:30:00+00:00,5.900716239488587,,,,,,False,0,0.0,0.0,0.0
2025-09-01 01:45:00+00:00,5.900550338102065,,,,,,False,0,0.0,0.0,0.0
2025-09-01 02:00:00+00:00,5.902013533064388,,,,,,False,0,0.0,0.0,0.0
2025-09-01 02:15:00+00:00,5.9001998694103115,,,,,,False,0,0.0,0.0,0.0
2025-09-01 02:30:00+00:00,5.9011428981498,,,,,,False,0,0.0,0.0,0.0
2025-09-01 02:45:00+00:00,5.900263383505347,,,,,,False,0,0.0,0.0,0.0
2025-09-01 03:00:00+00:00,5.9008044110414515,,,,,,False,0,0.0,0.0,0.0
2025-09-01 03:15:00+00:00,5.899729093437042,,,,,,False,0,-0.0,0.0,-0.0
2025-09-01 03:30:00+00:00,5.898896347149127,,,,,,False,0,0.0,0.0,0.0
2025-09-01 03:45:00+00:00,5.89810681175754,,,,,,False,0,0.0,0.0,0.0
2025-09-01 04:00:00+00:00,5.898474762675065,,,,,,False,0,0.0,0.0,0.0
2025-09-01 04:15:00+00:00,5.898651085703868,,,,,,False,0,0.0,0.0,0.0
2025-09-01 04:30:00+00:00,5.898684436389693,,,,,,False,0,0.0,0.0,0.0
2025-09-01 04:45:00+00:00,5.89862904772794,,,,,,False,0,0.0,0.0,0.0
2025-09-01 05:00:00+00:00,5.899905432589843,,,,,,False,0,0.0,0.0,0.0
2025-09-01 05:15:00+00:00,5.900333733089289,,,,,,False,0,0.0,0.0,0.0
2025-09-01 05:30:00+00:00,5.900573202581675,,,,,,False,0,0.0,0.0,0.0
2025-09-01 05:45:00+00:00,5.901429499579122,,,,,,False,0,0.0,0.0,0.0
2025-09-01 06:00:00+00:00,5.902893687861341,,,,,,False,0,0.0,0.0,0.0
2025-09-01 06:15:00+00:00,5.901795755319231,,,,,,False,0,0.0,0.0,0.0
2025-09-01 06:30:00+00:00,5.901974020820556,,,,,,False,0,0.0,0.0,0.0
2025-09-01 06:45:00+00:00,5.90287136642617,,,,,,False,0,0.0,0.0,0.0
2025-09-01 07:00:00+00:00,5.904916614904938,,,,,,False,0,0.0,0.0,0.0
2025-09-01 07:15:00+00:00,5.902682417030562,,,,,,False,0,0.0,0.0,0.0
