label,total_gross_$,total_net_$,total_cost_$,sharpe,sortino,max_drawdown_$,calmar,n_trades,win_rate,avg_hold_bars,avg_pnl_$,turnover
full,4536.81,-1263.19,5800.0,-0.3712,-0.2466,-3273.01,-0.7789,58,0.5345,63.5,-21.78,0.003338
in-sample,1924.35,-1425.65,3350.0,-0.6594,-0.4344,-3273.01,-1.3148,34,0.5588,65.6,-41.72,0.002884
out-of-sample,2612.46,162.46,2450.0,0.1317,0.0905,-2130.98,0.4642,24,0.5,60.5,6.47,0.004254
