cost_bps,net_pnl,sharpe
1,4294.890569852463,1.0614352719299553
5,-1385.1094301475364,-0.3405137690430662
10,-8485.109430147537,-2.053276109737056
15,-15585.109430147537,-3.677797919713132
20,-22685.10943014754,-5.17896919181124
