cost_bps,net_pnl,sharpe
1,3376.812190026249,1.000420253487866
5,-1263.18780997375,-0.3711891029482804
10,-7063.1878099737505,-2.0328301287231776
15,-12863.187809973751,-3.588419472652115
20,-18663.18780997375,-5.003659135990885
