open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
1756684800000000,108246.36,108332.35,107970.65,107970.66,422.51571,1756685699999999,45666337.3419271,47851,126.58885,13680805.9274939,0
1756685700000000,107970.66,108077.06,107631.68,107823.71,285.77887,1756686599999999,30812991.9914118,56422,136.9006,14759030.2403901,0
1756686600000000,107823.71,108218.49,107676.76,108167.15,259.91916,1756687499999999,28048610.4012266,62064,155.11892,16740749.2624322,0
1756687500000000,108167.15,108406.18,108084.0,108222.37,110.60836,1756688399999999,11974726.9783041,47537,59.41835,6432892.2582211,0
1756688400000000,108222.37,108355.0,107968.09,108143.65,101.07012,1756689299999999,10933515.0868364,39317,33.91213,3668741.0587571,0
1756689300000000,108143.65,108286.99,108014.0,108241.63,96.1696,1756690199999999,10405769.5725262,35077,41.89438,4532678.6973785,0
1756690200000000,108241.63,108299.3,108052.0,108299.29,135.78212,1756691099999999,14686702.2358834,45349,77.35561,8366437.4274986,0
1756691100000000,108299.29,108482.98,107980.0,108150.24,138.19378,1756691999999999,14952653.9761009,48476,61.50367,6655839.3204373,0
1756692000000000,108150.24,108197.67,107921.18,107970.59,156.30884,1756692899999999,16893890.6857066,34336,53.94898,5831210.9508873,0
1756692900000000,107970.58,107980.0,107565.99,107688.19,307.49225,1756693799999999,33146746.7444367,59438,110.24895,11883736.8383828,0
1756693800000000,107688.19,107707.33,107525.51,107562.56,179.82548,1756694699999999,19348462.6082569,44206,82.95677,8925556.8171698,0
1756694700000000,107562.56,107732.96,107425.42,107617.05,226.19025,1756695599999999,24327641.5875038,43558,105.01059,11293451.1081931,0
1756695600000000,107617.05,107769.94,107473.22,107530.32,171.19847,1756696499999999,18424659.1830039,38645,88.28339,9501262.656244,0
1756696500000000,107530.33,107632.79,107447.44,107505.21,208.40658,1756697399999999,22406527.2027232,28604,69.7083,7494240.0033664,0
1756697400000000,107505.21,107556.54,107393.0,107556.54,172.656,1756698299999999,18557754.2778633,22747,77.69499,8351196.8380511,0
1756698300000000,107556.54,107722.49,107437.81,107660.01,234.22538,1756699199999999,25197022.7713589,25109,94.57411,10175217.2364783,0
1756699200000000,107660.0,107759.99,107516.28,107729.97,157.13789,1756700099999999,16918262.4997622,22433,77.19364,8310320.8773322,0
1756700100000000,107729.98,107743.47,107300.4,107467.42,243.59522,1756700999999999,26173464.8841604,31767,88.28676,9485145.1614715,0
1756701000000000,107467.41,107467.41,107280.0,107309.91,134.35069,1756701899999999,14423435.7062769,29420,56.21346,6034747.1785799,0
1756701900000000,107309.9,107459.03,107279.51,107409.1,110.74458,1756702799999999,11887715.6548788,22361,52.3428,5618913.270182,0
1756702800000000,107409.09,107721.76,107255.44,107356.0,203.16554,1756703699999999,21825313.3728299,42812,87.02401,9351141.994278,0
1756703700000000,107356.0,107732.04,107255.0,107715.74,188.7849,1756704599999999,20294856.2565774,31386,93.52235,10052751.5143558,0
1756704600000000,107715.74,107987.4,107653.38,107945.64,102.13993,1756705499999999,11012001.9687585,24209,56.0919,6047581.2380078,0
1756705500000000,107945.64,107960.0,107828.39,107866.12,53.70248,1756706399999999,5793936.4272269,15286,21.18244,2285194.6929852,0
1756706400000000,107866.13,107944.0,107594.42,107936.0,122.78803,1756707299999999,13231137.0954465,33020,62.78065,6766556.2833877,0
1756707300000000,107935.99,108036.81,107793.24,107936.76,109.39719,1756708199999999,11809698.8472377,25563,56.44455,6092963.0268373,0
1756708200000000,107936.76,108115.94,107924.5,108101.45,85.25886,1756709099999999,9209551.3976017,18181,51.34001,5546404.8946026,0
1756709100000000,108101.44,108128.0,108015.42,108064.75,67.14641,1756709999999999,7256401.7874497,18867,42.47021,4589679.6991035,0
1756710000000000,108064.76,108175.0,108001.0,108001.0,123.37589,1756710899999999,13338797.4944108,21778,67.70526,7320176.5902141,0
1756710900000000,108001.0,108444.0,107984.79,108436.12,186.27239,1756711799999999,20167908.766531,35848,113.57657,12296664.6403503,0
1756711800000000,108436.12,108957.44,108433.35,108823.54,484.42044,1756712699999999,52662700.5036904,60110,306.22329,33286917.0407306,0
1756712700000000,108823.54,109432.99,108823.53,109432.99,531.89236,1756713599999999,58047086.0084511,60742,329.44855,35951079.5161734,0
1756713600000000,109432.99,109820.02,109432.99,109514.48,580.06184,1756714499999999,63590708.890398,78833,302.55318,33167464.5024996,0
1756714500000000,109514.48,109738.0,109424.0,109439.48,318.34158,1756715399999999,34877408.777083,37536,118.09147,12940254.52132,0
1756715400000000,109439.48,109615.77,109439.47,109586.94,125.43416,1756716299999999,13736044.6098025,26659,63.72496,6978228.3579497,0
1756716300000000,109586.94,109693.37,109522.0,109590.0,79.91895,1756717199999999,8757823.6127575,22102,36.947,4048704.0701813,0
1756717200000000,109590.0,109800.0,109485.57,109800.0,122.53302,1756718099999999,13435180.9583862,26771,76.10014,8344496.447947,0
1756718100000000,109799.99,109811.22,109649.21,109699.99,94.20069,1756718999999999,10335799.7311453,22623,33.49211,3674606.5239769,0
1756719000000000,109700.0,109912.4,109587.77,109812.0,160.02592,1756719899999999,17564965.753706,29583,100.66119,11050323.6535439,0
1756719900000000,109811.99,109836.0,109486.0,109524.12,136.74364,1756720799999999,14994546.8515917,21878,34.22616,3752375.0687586,0
1756720800000000,109524.13,109535.32,109197.39,109216.98,196.92319,1756721699999999,21529328.0648984,33559,78.35103,8565295.3617971,0
1756721700000000,109216.99,109261.97,108848.11,108859.99,213.50407,1756722599999999,23278936.0741151,29121,59.19949,6454984.3946175,0
1756722600000000,108860.0,108883.99,108186.41,108345.12,349.6932,1756723499999999,37932124.0339773,63303,112.13712,12162197.1294898,0
1756723500000000,108345.11,108571.42,108229.18,108571.41,188.70732,1756724399999999,20458269.720963,29742,128.61256,13943449.6462636,0
1756724400000000,108571.42,108718.63,108464.0,108591.09,162.95897,1756725299999999,17698853.4135374,18984,93.44262,10148260.4753278,0
1756725300000000,108591.09,108722.92,108539.6,108681.82,138.76977,1756726199999999,15076805.6187556,18092,72.88462,7918417.5922465,0
1756726200000000,108681.82,108699.98,108491.87,108506.0,108.4458,1756727099999999,11778068.1600027,21823,39.09959,4246971.7589567,0
1756727100000000,108505.99,108857.35,108505.99,108782.88,135.02913,1756727999999999,14678712.9439383,18384,70.21553,7632002.0138592,0
1756728000000000,108782.89,108934.32,108635.39,108904.93,189.00166,1756728899999999,20568525.7590394,19721,57.05249,6208059.6969014,0
1756728900000000,108904.93,108999.98,108784.03,108951.0,107.11759,1756729799999999,11666689.4424624,16840,51.33115,5591257.3426583,0
1756729800000000,108951.0,109165.47,108905.0,108966.67,223.41524,1756730699999999,24361082.1259664,21077,101.88854,11110555.5508453,0
1756730700000000,108966.68,109117.5,108932.95,109108.27,116.81071,1756731599999999,12736557.2708388,18061,49.64385,5413156.9618035,0
1756731600000000,109108.27,109294.67,109049.69,109188.38,164.58374,1756732499999999,17967746.6913755,24853,92.82461,10133913.647201,0
1756732500000000,109188.39,109520.0,109094.26,109450.63,193.53195,1756733399999999,21163323.7223981,27573,124.37506,13599345.1510228,0
1756733400000000,109450.64,109474.16,109115.51,109168.0,171.83096,1756734299999999,18774072.0191287,32448,62.19239,6794991.7855912,0
1756734300000000,109168.0,109229.08,108936.44,109023.61,195.17641,1756735199999999,21284741.3170867,34160,44.34078,4835528.1018461,0
