open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
1756684800000000,0.21371,0.21385,0.2126,0.21311,9756389.0,1756685699999999,2080364.25784,14136,4092858.0,873082.4162,0
1756685700000000,0.21311,0.2136,0.21147,0.21197,28342296.0,1756686599999999,6014340.78858,21902,12723760.0,2698750.74246,0
1756686600000000,0.21197,0.21324,0.21097,0.21288,17606471.0,1756687499999999,3731043.01271,24019,9370112.0,1986184.1146,0
1756687500000000,0.21288,0.21371,0.21241,0.21284,9990447.0,1756688399999999,2128942.10643,15358,5509871.0,1174264.23752,0
1756688400000000,0.21284,0.21334,0.21168,0.21224,9153329.0,1756689299999999,1944360.11211,15142,4103205.0,871657.83311,0
1756689300000000,0.21224,0.213,0.21171,0.21296,10940388.0,1756690199999999,2324384.73005,13609,7689936.0,1634041.55468,0
1756690200000000,0.21295,0.2137,0.21263,0.21364,8693015.0,1756691099999999,1852618.66324,15338,5112957.0,1089817.07277,0
1756691100000000,0.21365,0.2141,0.21225,0.21275,7034775.0,1756691999999999,1497889.40221,13254,3043986.0,648232.35617,0
1756692000000000,0.21276,0.21289,0.21145,0.21166,9369740.0,1756692899999999,1985973.95309,10909,4188799.0,887808.9748,0
1756692900000000,0.21165,0.21191,0.20979,0.21097,31246137.0,1756693799999999,6584942.47394,21392,11616671.0,2449895.40829,0
1756693800000000,0.21098,0.21101,0.21005,0.21035,15047609.0,1756694699999999,3166225.42726,16114,6515896.0,1370948.41075,0
1756694700000000,0.21035,0.2106,0.20885,0.20998,32266704.0,1756695599999999,6764324.35255,23683,15923336.0,3337849.16658,0
1756695600000000,0.20998,0.21065,0.2091,0.20913,22244125.0,1756696499999999,4670535.03863,19773,8468269.0,1777369.33536,0
1756696500000000,0.20913,0.20997,0.20893,0.20967,9346459.0,1756697399999999,1958829.40752,13912,5403249.0,1132489.55165,0
1756697400000000,0.20967,0.21025,0.20931,0.20996,8143969.0,1756698299999999,1708497.56591,9739,5191788.0,1089253.2047,0
1756698300000000,0.20997,0.21078,0.20971,0.21046,6158128.0,1756699199999999,1294764.19855,6850,3704222.0,778761.09671,0
1756699200000000,0.21045,0.21077,0.20969,0.21042,13241282.0,1756700099999999,2781961.65653,8181,4635982.0,974330.35791,0
1756700100000000,0.21042,0.21051,0.20944,0.20972,10905042.0,1756700999999999,2288923.52926,10789,5313424.0,1115009.96046,0
1756701000000000,0.20973,0.20979,0.20862,0.20904,33462679.0,1756701899999999,7003861.24921,14457,11376167.0,2380658.47724,0
1756701900000000,0.20905,0.20936,0.20841,0.20923,17544216.0,1756702799999999,3665170.81283,13002,7330132.0,1531088.75898,0
1756702800000000,0.20923,0.20979,0.20822,0.20894,10941810.0,1756703699999999,2285446.94291,12226,6567952.0,1371709.30538,0
1756703700000000,0.20895,0.20976,0.2082,0.20968,10911643.0,1756704599999999,2280497.87628,12453,5990767.0,1252221.15613,0
1756704600000000,0.20968,0.21094,0.20933,0.21057,13027442.0,1756705499999999,2737571.93836,9077,9260568.0,1945756.3594,0
1756705500000000,0.21057,0.21073,0.21012,0.21029,4893208.0,1756706399999999,1029559.75299,7081,2397554.0,504537.10741,0
1756706400000000,0.21028,0.21039,0.20916,0.2096,14996190.0,1756707299999999,3147361.99675,10866,3588516.0,752491.13757,0
1756707300000000,0.20959,0.21091,0.20916,0.21057,16201388.0,1756708199999999,3401834.6542,10569,11538578.0,2422237.17897,0
